iter	Logloss
0	0.5856391277
1	0.5112116227
2	0.4538185371
3	0.4102344784
4	0.3688556488
5	0.3371045968
6	0.3166995283
7	0.2976019581
8	0.2808600317
9	0.2664499568
10	0.2561355156
11	0.2476573031
12	0.2406877715
13	0.2338790025
14	0.2278396885
15	0.2243616847
16	0.2185370213
17	0.2147764747
18	0.2127825943
19	0.2115593186
20	0.2080966186
21	0.2056372536
22	0.2043144846
23	0.2030472882
24	0.2013074198
25	0.1987273957
26	0.1974205226
27	0.1965405905
28	0.1950626487
29	0.1926707661
30	0.1909097895
31	0.1899471646
32	0.1883202898
33	0.1877950567
34	0.1866718529
35	0.1859915658
36	0.1844908019
37	0.1842646353
38	0.1829081924
39	0.1819358664
40	0.1811584485
41	0.1806590317
42	0.1789734448
43	0.1779004501
44	0.1770398167
45	0.1766967158
46	0.1758678364
47	0.174812225
48	0.1741329513
49	0.1729385856
50	0.1721066688
51	0.1709513759
52	0.1699327652
53	0.1688865344
54	0.1681803114
55	0.1678687628
56	0.1665679797
57	0.1658664544
58	0.1649610353
59	0.1640912662
60	0.1633949541
61	0.1630920785
62	0.162539109
63	0.1620452518
64	0.1616603181
65	0.1612702574
66	0.1604093949
67	0.1598043585
68	0.1595039489
69	0.1593375816
70	0.1588473638
71	0.1582883612
72	0.1578624882
73	0.1570294754
74	0.1565120225
75	0.1563422576
76	0.1559738298
77	0.1554797094
78	0.1553262026
79	0.1551687124
80	0.1545422209
81	0.1544227752
82	0.1541523341
83	0.1530494531
84	0.1527926715
85	0.1513206968
86	0.1506543214
87	0.1503140037
88	0.1497804448
89	0.1492926286
90	0.1486083156
91	0.1479725515
92	0.147076851
93	0.146677191
94	0.1457551402
95	0.1451337412
96	0.1445242574
97	0.1443303632
98	0.144025027
99	0.1431425875
100	0.1424465105
101	0.1418796313
102	0.1416243295
103	0.141463435
104	0.1409813879
105	0.1402326821
106	0.1394821358
107	0.1386560762
108	0.1380925724
109	0.1376791374
110	0.137450846
111	0.1364267714
112	0.136038515
113	0.1352896008
114	0.134998292
115	0.1344543674
116	0.1338829289
117	0.1337974634
118	0.1335714185
119	0.1329746836
120	0.1323744928
121	0.1320496668
122	0.1318952055
123	0.1314881029
124	0.1312010109
125	0.1307988929
126	0.1299901824
127	0.1298599001
128	0.1294547407
129	0.1291121086
130	0.1289938481
131	0.1287472108
132	0.1280978679
133	0.1277553465
134	0.1273298835
135	0.1270593728
136	0.1266170321
137	0.1260714941
138	0.1257020724
139	0.125401183
140	0.1252510776
141	0.1250259619
142	0.1245814299
143	0.1239824584
144	0.123674987
145	0.1234463667
146	0.1230868361
147	0.1226873729
148	0.1222086045
149	0.1218568319
150	0.1214385212
151	0.1209581304
152	0.1203715793
153	0.1202501197
154	0.1199843704
155	0.1191739086
156	0.119012182
157	0.1188209161
158	0.1184824982
159	0.1182009431
160	0.117958413
161	0.1177835445
162	0.117298866
163	0.1170310869
164	0.1169129278
165	0.1165995146
166	0.1164709857
167	0.1162668075
168	0.1159463885
169	0.1154641099
170	0.1152602684
171	0.1146152093
172	0.1144974352
173	0.1143124473
174	0.1140212793
175	0.1138942579
176	0.1135951132
177	0.1133648669
178	0.1128724725
179	0.1124164592
180	0.1120113073
181	0.1118147865
182	0.1115540741
183	0.1110775909
184	0.1106868227
185	0.1105484126
186	0.1100689753
187	0.1099720602
188	0.1095807938
189	0.1090437338
190	0.1084336482
191	0.1081237779
192	0.1078388765
193	0.1077207735
194	0.1073118218
195	0.1070540324
196	0.1069683895
197	0.1063564337
198	0.1056309245
199	0.1051100262
