iter	Passed	Remaining
0	12	2506
1	25	2524
2	40	2681
3	52	2569
4	65	2535
5	77	2506
6	90	2503
7	103	2478
8	117	2488
9	132	2513
10	146	2517
11	162	2542
12	176	2539
13	190	2533
14	203	2510
15	215	2481
16	229	2473
17	243	2462
18	259	2467
19	273	2461
20	289	2464
21	302	2445
22	317	2439
23	328	2412
24	341	2391
25	355	2379
26	369	2365
27	384	2363
28	396	2340
29	410	2326
30	422	2305
31	436	2289
32	450	2280
33	463	2262
34	475	2242
35	487	2221
36	500	2203
37	512	2186
38	524	2166
39	537	2148
40	549	2131
41	562	2115
42	575	2099
43	587	2082
44	599	2064
45	611	2047
46	623	2029
47	635	2012
48	647	1994
49	659	1978
50	672	1963
51	684	1947
52	697	1935
53	710	1920
54	722	1905
55	735	1891
56	747	1875
57	759	1859
58	771	1843
59	783	1827
60	797	1816
61	809	1802
62	822	1788
63	837	1778
64	851	1768
65	864	1754
66	875	1738
67	888	1724
68	900	1709
69	912	1693
70	924	1679
71	936	1664
72	948	1650
73	960	1635
74	974	1624
75	989	1614
76	1002	1601
77	1018	1592
78	1032	1580
79	1046	1570
80	1060	1557
81	1074	1545
82	1090	1536
83	1106	1527
84	1120	1515
85	1133	1502
86	1146	1489
87	1159	1475
88	1172	1461
89	1184	1447
90	1196	1433
91	1209	1419
92	1221	1405
93	1234	1391
94	1246	1377
95	1257	1362
96	1270	1348
97	1281	1334
98	1293	1319
99	1306	1306
100	1318	1292
101	1331	1278
102	1342	1264
103	1354	1250
104	1366	1236
105	1378	1222
106	1390	1208
107	1402	1194
108	1414	1180
109	1428	1168
110	1441	1155
111	1454	1142
112	1466	1128
113	1478	1115
114	1490	1102
115	1503	1088
116	1514	1074
117	1527	1061
118	1538	1047
119	1550	1033
120	1562	1020
121	1574	1006
122	1586	993
123	1598	979
124	1610	966
125	1621	952
126	1633	939
127	1645	925
128	1657	912
129	1670	899
130	1681	885
131	1694	872
132	1706	859
133	1718	846
134	1730	833
135	1742	819
136	1754	806
137	1766	793
138	1778	780
139	1792	768
140	1806	755
141	1820	743
142	1834	731
143	1847	718
144	1861	705
145	1873	692
146	1886	680
147	1899	667
148	1912	654
149	1927	642
150	1939	629
151	1954	617
152	1966	604
153	1979	591
154	1992	578
155	2004	565
156	2017	552
157	2030	539
158	2045	527
159	2058	514
160	2071	501
161	2083	488
162	2095	475
163	2107	462
164	2119	449
165	2131	436
166	2144	423
167	2157	410
168	2170	398
169	2182	385
170	2194	372
171	2206	359
172	2219	346
173	2231	333
174	2242	320
175	2254	307
176	2269	294
177	2282	282
178	2295	269
179	2307	256
180	2319	243
181	2331	230
182	2344	217
183	2356	204
184	2368	192
185	2380	179
186	2392	166
187	2404	153
188	2417	140
189	2429	127
190	2442	115
191	2456	102
192	2467	89
193	2483	76
194	2496	64
195	2509	51
196	2522	38
197	2534	25
198	2546	12
199	2559	0
